Airport,City,IATA,ICAO,Country,Lat,Long,Alt
Eday Airport,Eday,EOI,EGED,United Kingdom,59.1906,-2.77222,10
Mirecourt,Epinal,EPL,LFSG,France,48.324961,6.069983,1084
Parnu,Parnu,EPU,EEPU,Estonia,58.419044,24.472819,47
Erzincan,Erzincan,ERC,LTCD,Turkey,39.710203,39.527003,3783
Erfurt,Erfurt,ERF,EDDE,Germany,50.979811,10.958106,1036
Erzurum,Erzurum,ERZ,LTCE,Turkey,39.956501,41.170166,5763
Esenboga,Ankara,ESB,LTAC,Turkey,40.128082,32.995083,3125
Shoreham,Shoreham By Sea,ESH,EGKA,United Kingdom,50.835556,-0.297222,7
Eskisehir,Eskisehir,ESK,LTBI,Turkey,39.784138,30.582111,2581
Elista Airport,Elista,ESL,URWI,Russia,46.3739,44.3309,501
Essen Mulheim,Essen,ESS,EDLE,Germany,51.402333,6.937333,424
Essen HBF,Essen,ESX,ESSE,Germany,51.451389,7.0138,1000
Metz Nancy Lorraine,Metz,ETZ,LFJL,France,48.982142,6.251319,870
Neumuenster,Neumuenster,EUM,EDHN,Germany,54.079069,9.941719,69
Evenes,Harstad/Narvik,EVE,ENEV,Norway,68.4913,16.678108,84
Sveg,Sveg,EVG,ESND,Sweden,62.047811,14.42295,1178
Exeter,Exeter,EXT,EGTE,United Kingdom,50.734444,-3.413889,102
Elazig,Elazig,EZS,LTCA,Turkey,38.606925,39.291417,2927
Farnborough,Farnborough,FAB,EGLF,United Kingdom,51.275833,-0.776333,238
Lista,Farsund,FAN,ENLI,Norway,58.099486,6.62605,29
Faro,Faro,FAO,LPFR,Portugal,37.014425,-7.965911,24
Fornebu,Oslo,FBU,ENFB,Norway,59.883333,10.616667,56
Fiumicino,Rome,FCO,LIRF,Italy,41.804475,12.250797,15
Friedrichshafen,Friedrichshafen,FDH,EDNY,Germany,47.671317,9.511486,1367
Furstenfeldbruck,Fuerstenfeldbruck,FEL,ETSF,Germany,48.205667,11.267,1703
Fairford,Fairford,FFD,EGVA,United Kingdom,51.682167,-1.790028,286
Fair Isle Airport,Fair Isle,FIE,EGEF,United Kingdom,59.5358,-1.62806,223
Baden Airpark,Karl Ssruhe/Baden-Baden,FKB,EDSB,Germany,48.7793,8.08048,407
Flensburg Schaferhaus,Flensburg,FLF,EDXF,Germany,54.771772,9.378214,130
Firenze,Florence,FLR,LIRQ,Italy,43.809953,11.2051,142
Allgau,Memmingen,FMM,EDJA,Germany,47.988758,10.2395,2077
Munster Osnabruck,Munster,FMO,EDDG,Germany,52.134642,7.684831,160
